"","Country","Variable","M000","M100","M101","M102","M112"
"1","Cambodia","DurA","14.95 (12.22 – 18.52)","14.41 (11.89 – 17.69)","14.37 (11.83 – 17.58)","13.91 (11.51 – 16.96)","13.60 (11.23 – 16.49)"
"2","Ethiopia","DurA","4.40 (3.39 – 5.58)","4.40 (3.35 – 5.62)","4.36 (3.31 – 5.55)","4.28 (3.29 – 5.40)","4.24 (3.24 – 5.43)"
"3","Kenya","DurA","9.31 (7.61 – 11.33)","9.22 (7.53 – 11.33)","9.08 (7.42 – 11.08)","8.76 (7.10 – 10.73)","8.63 (7.11 – 10.51)"
"4","Lao PDR","DurA","17.13 (12.86 – 24.17)","16.22 (12.19 – 22.38)","15.98 (12.05 – 21.95)","14.52 (10.99 – 19.54)","14.11 (10.76 – 18.78)"
"5","Malawi","DurA","6.64 (4.67 – 9.18)","6.44 (4.59 – 8.86)","6.33 (4.45 – 8.72)","6.00 (4.12 – 8.24)","5.89 (4.14 – 8.10)"
"6","Pakistan","DurA","5.16 (4.18 – 6.25)","5.09 (4.16 – 6.14)","5.00 (4.09 – 6.11)","4.86 (3.97 – 5.86)","4.82 (3.94 – 5.80)"
"7","Philippines","DurA","13.99 (11.64 – 17.01)","13.65 (11.32 – 16.49)","13.44 (11.18 – 16.42)","13.13 (10.94 – 15.96)","12.89 (10.71 – 15.53)"
"8","Tanzania","DurA","5.73 (4.23 – 7.60)","5.59 (4.18 – 7.19)","5.52 (4.16 – 7.09)","5.29 (3.94 – 6.87)","5.23 (3.90 – 6.84)"
"9","Uganda","DurA","9.42 (7.24 – 11.95)","9.26 (7.14 – 11.68)","9.11 (7.17 – 11.43)","8.72 (6.83 – 11.03)","8.55 (6.66 – 10.75)"
"10","Vietnam","DurA","7.38 (5.47 – 9.68)","7.20 (5.34 – 9.52)","6.99 (5.29 – 9.18)","6.50 (4.98 – 8.36)","6.47 (4.89 – 8.35)"
"11","Zambia","DurA","5.23 (4.18 – 6.40)","5.18 (4.12 – 6.38)","5.10 (4.10 – 6.32)","4.98 (3.98 – 6.12)","4.93 (3.98 – 6.04)"
"12","Cambodia","DurS","8.24 (6.68 –  9.98)","8.15 (6.61 – 9.78)","8.08 (6.68 – 9.69)","7.74 (6.38 – 9.27)","7.75 (6.39 – 9.24)"
"13","Ethiopia","DurS","4.92 (3.81 – 6.22)","4.93 (3.84 – 6.19)","4.88 (3.77 – 6.07)","4.78 (3.70 – 6.02)","4.78 (3.74 – 5.96)"
"14","Kenya","DurS","9.48 (8.03 – 11.15)","9.44 (7.95 – 11.14)","9.27 (7.83 – 10.91)","8.89 (7.63 – 10.30)","8.89 (7.58 – 10.39)"
"15","Lao PDR","DurS","27.69 (22.11 – 36.99)","26.46 (21.24 – 34.63)","25.42 (20.58 – 32.65)","21.60 (18.02 – 26.91)","21.56 (17.92 – 26.49)"
"16","Malawi","DurS","15.77 (12.80 – 19.43)","15.46 (12.49 – 18.92)","15.05 (12.21 – 18.43)","14.13 (11.72 – 17.01)","14.11 (11.54 – 17.05)"
"17","Pakistan","DurS","8.72 (7.55 – 10.02)","8.67 (7.56 –  9.97)","8.49 (7.43 – 9.75)","8.20 (7.15 – 9.40)","8.22 (7.20 – 9.41)"
"18","Philippines","DurS","9.23 (7.89 – 10.80)","9.13 (7.79 – 10.68)","8.99 (7.70 – 10.51)","8.69 (7.42 – 10.05)","8.67 (7.49 – 10.05)"
"19","Tanzania","DurS","10.87 (8.91 – 13.13)","10.70 (8.75 – 12.94)","10.51 (8.62 – 12.73)","10.03 (8.47 – 11.96)","10.06 (8.48 – 11.95)"
"20","Uganda","DurS","10.53 (8.48 – 12.89)","10.40 (8.33 – 12.70)","10.16 (8.30 – 12.35)","9.66 (7.98 – 11.61)","9.61 (7.92 – 11.47)"
"21","Vietnam","DurS","16.20 (13.52 – 19.43)","15.91 (13.22 – 19.11)","15.46 (13.00 – 18.56)","14.21 (12.02 – 16.73)","14.26 (12.09 – 16.81)"
"22","Zambia","DurS","8.38 (7.17 – 9.79)","8.35 (7.11 – 9.69)","8.18 (7.01 – 9.47)","7.96 (6.85 – 9.22)","7.95 (6.83 – 9.19)"
"23","Cambodia","CDR","71% (59% – 86%)","69% (58% – 83%)","68% (57% – 82%)","66% (55% – 79%)","64% (54% – 76%)"
"24","Ethiopia","CDR","90% (83% – 97%)","90% (83% – 97%)","89% (82% – 96%)","87% (80% – 94%)","87% (80% – 93%)"
"25","Kenya","CDR","74% (63% – 85%)","73% (63% – 83%)","72% (62% – 82%)","69% (60% – 79%)","68% (59% – 78%)"
"26","Lao PDR","CDR","28% (22% – 38%)","27% (21% – 35%)","26% (21% – 35%)","24% (19% – 31%)","23% (19% – 30%)"
"27","Malawi","CDR","71% (59% – 84%)","69% (57% – 82%)","68% (56% – 80%)","64% (53% – 75%)","63% (52% – 74%)"
"28","Pakistan","CDR","80% (72% – 89%)","79% (71% – 88%)","78% (70% – 86%)","76% (68% – 84%)","75% (67% – 83%)"
"29","Philippines","CDR","56% (48% – 66%)","55% (47% – 64%)","54% (46% – 63%)","53% (46% – 62%)","52% (45% – 60%)"
"30","Tanzania","CDR","74% (64% – 83%)","72% (63% – 82%)","71% (62% – 80%)","68% (59% – 77%)","67% (59% – 76%)"
"31","Uganda","CDR","68% (58% – 79%)","67% (57% – 77%)","66% (56% – 76%)","63% (54% – 73%)","62% (53% – 71%)"
"32","Vietnam","CDR","67% (55% – 81%)","66% (54% – 78%)","63% (53% – 75%)","59% (50% – 69%)","59% (49% – 69%)"
"33","Zambia","CDR","84% (74% – 93%)","82% (74% – 92%)","81% (73% – 90%)","79% (71% – 88%)","78% (70% – 87%)"
"34","Cambodia","Inc","319 (261 – 380)","331 (272 – 389)","333 (276 – 393)","345 (285 – 406)","353 (296 – 415)"
"35","Ethiopia","Inc","163 (151 – 176)","164 (152 – 177)","165 (153 – 179)","168 (156 – 183)","170 (157 – 185)"
"36","Kenya","Inc","337 (290 – 388)","342 (295 – 393)","346 (300 – 398)","359 (311 – 412)","365 (317 – 418)"
"37","Lao PDR","Inc","511 (370 – 644)","537 (397 – 675)","545 (404 – 682)","595 (454 – 743)","609 (468 – 758)"
"38","Malawi","Inc","198 (165 – 239)","204 (170 – 245)","208 (175 – 250)","222 (186 – 265)","224 (189 – 268)"
"39","Pakistan","Inc","270 (243 – 301)","274 (246 – 306)","279 (250 – 309)","287 (258 – 319)","290 (262 – 321)"
"40","Philippines","Inc","866 (733 – 1,010)","885 (751 – 1,027)","897 (760 – 1,040)","916 (779 – 1,059)","932 (798 – 1,076)"
"41","Tanzania","Inc","283 (248 – 323)","288 (253 – 330)","293 (259 – 334)","306 (269 – 349)","309 (272 – 352)"
"42","Uganda","Inc","326 (280 – 381)","332 (285 – 387)","336 (289 – 393)","353 (303 – 410)","359 (308 – 416)"
"43","Vietnam","Inc","203 (167 – 243)","208 (173 – 248)","215 (179 – 254)","230 (194 – 272)","232 (197 – 275)"
"44","Zambia","Inc","402 (360 – 450)","408 (365 – 455)","413 (371 – 460)","425 (382 – 472)","430 (386 – 476)"
